,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
399,50005401,5.4,,,,6.0,6.6,6.5,6.5,8.75
400,50005402,5.2,3.0,5.5,4.25,5.5,5.0,,,
401,50005403,5.2,,,,6.5,5.8,6.25,6.5,8.75
402,50005404,4.2,,,,5.5,,7.0,6.5,
403,50005405,5.4,,,,5.0,5.6,8.5,7.5,9.0
404,50005406,6.2,3.5,3.75,3.0,5.25,3.6,,,
405,50005407,7.6,6.25,6.0,3.75,7.0,3.0,,,
406,50005408,7.0,5.75,6.0,3.25,5.5,4.4,,,
407,50005409,7.8,,,,6.5,5.8,8.5,8.25,9.25
408,50005410,4.4,,,,6.0,,4.5,5.25,
409,50005411,3.8,,,,5.0,,7.25,7.75,
410,50005412,6.8,4.5,6.5,3.0,7.0,4.8,,,
411,50005413,6.6,,,,7.25,4.4,7.0,7.25,8.75
412,50005414,4.6,4.0,4.25,4.75,6.33,4.2,,,
413,50005415,4.2,,,,5.0,,3.25,6.25,
414,50005416,5.0,,,,7.0,3.6,5.75,8.0,8.5
415,50005417,5.2,,,,6.25,4.0,6.75,6.75,9.0
416,50005418,3.2,,,,5.0,,3.5,6.25,
417,50005419,6.4,5.25,5.5,4.75,5.0,2.0,,,
418,50005420,7.4,6.75,7.0,3.75,7.75,5.6,,,
419,50005421,4.6,,,,5.25,,5.5,6.0,
420,50005422,4.6,,,,7.5,6.6,5.0,7.25,8.5
421,50005423,3.6,4.25,4.25,3.75,7.0,3.0,,,
422,50005424,6.6,,,,7.5,5.0,7.25,7.75,9.0
423,50005425,3.2,2.75,4.25,3.5,6.75,5.6,,,
424,50005426,4.0,,,,6.0,,5.5,5.5,
425,50005427,7.6,8.0,8.25,5.25,7.5,7.6,,,
426,50005428,5.4,5.75,4.5,2.75,6.0,4.2,,,
427,50005429,5.2,5.75,5.25,2.0,6.0,4.6,,,
428,50005430,7.6,5.25,6.0,3.0,6.75,4.8,,,
429,50005431,6.2,4.0,5.5,2.5,5.25,4.0,,,
430,50005432,7.0,,,,6.0,2.6,5.5,7.25,7.25
