,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
353,50000354,7.4,6.75,7.5,7.5,4.6,9.0,,,
354,50000355,5.8,6.5,,,3.2,,4.0,2.75,3.75
355,50000356,7.6,6.75,,,3.6,,5.75,3.5,4.0
356,50000357,6.2,7.25,6.25,6.25,4.8,8.75,,,
357,50000358,5.4,5.0,4.0,6.75,5.0,8.25,,,
358,50000359,5.6,5.75,4.0,5.25,4.0,6.5,,,
359,50000360,5.6,6.25,6.25,6.5,4.4,8.25,,,
360,50000361,7.2,7.5,6.75,8.0,6.8,8.75,,,
361,50000362,6.4,7.25,6.75,6.25,4.4,9.5,,,
362,50000363,7.8,8.0,,,7.8,,6.75,7.0,5.0
363,50000364,5.6,5.0,5.75,7.0,4.2,9.0,,,
364,50000365,7.4,7.0,5.25,5.25,4.8,9.25,,,
365,50000366,8.2,7.0,,,5.4,,8.5,5.5,7.75
366,50000367,6.6,8.0,8.5,7.25,7.6,9.25,,,
367,50000368,6.4,7.0,5.0,6.0,5.0,8.5,,,
368,50000369,7.0,5.75,5.25,5.5,5.8,8.5,,,
369,50000370,6.4,5.75,,,4.0,,7.0,5.0,4.75
370,50000371,5.6,4.25,5.0,6.0,3.2,6.5,,,
371,50000372,5.6,6.25,5.0,5.25,3.4,6.75,,,
372,50000373,7.2,7.0,,,4.0,,6.0,5.25,5.75
373,50000374,7.0,6.0,,,6.8,,8.0,6.0,4.5
374,50000375,5.6,5.0,6.0,6.0,5.2,8.75,,,
375,50000376,8.4,8.25,,,6.6,,8.25,8.0,6.75
376,50000377,8.4,8.5,,,8.4,,9.0,7.5,6.75
377,50000378,5.8,6.5,4.5,7.0,5.2,8.25,,,
378,50000379,7.2,7.5,,,5.4,,7.75,6.25,4.25
379,50000380,6.4,7.5,,,4.8,,7.5,7.75,3.75
380,50000381,6.4,7.75,,,5.6,,5.25,4.75,5.0
381,50000382,7.2,8.25,,,6.4,,8.0,8.5,5.25
382,50000383,5.2,5.75,5.75,6.75,3.4,8.5,,,
383,50000384,5.4,7.75,8.25,6.75,5.4,7.75,,,
384,50000385,7.4,7.75,,,5.6,,8.0,6.5,6.0
385,50000386,4.6,6.5,6.0,5.5,5.0,8.25,,,
386,50000387,7.4,8.25,7.0,7.75,4.2,9.5,,,
387,50000388,7.4,8.0,8.75,8.5,5.8,9.5,,,
388,50000389,7.0,6.5,7.5,8.0,6.0,9.75,,,
389,50000390,6.4,6.25,7.75,6.5,4.8,9.0,,,
390,50000391,5.0,5.0,,,3.8,,2.75,4.5,4.5
391,50000392,6.4,7.5,5.75,6.25,4.0,8.5,,,
392,50000393,7.6,6.5,7.75,8.0,5.0,8.75,,,
393,50000394,6.4,7.5,8.25,7.75,5.4,8.25,,,
394,50000395,7.8,7.25,,,8.4,,7.75,7.0,6.75
395,50000396,8.2,6.75,,,7.6,,8.25,8.0,7.5
396,50000397,4.8,6.75,5.25,6.5,3.2,8.25,,,
